DAY,TIME,STATE,CURED,DEATH,CONFIRMED,,,,,
07-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
08-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
09-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
10-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
11-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
12-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
13-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
14-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
15-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
16-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
17-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
18-03-2020,6:00 PM,Tamil Nadu,0,0,1,,,,,
19-03-2020,6:00 PM,Tamil Nadu,1,0,2,,,,,
20-03-2020,6:00 PM,Tamil Nadu,1,0,3,,,,,
21-03-2020,6:00 PM,Tamil Nadu,1,0,3,,,,,
22-03-2020,6:00 PM,Tamil Nadu,1,0,7,,,,,
23-03-2020,6:00 PM,Tamil Nadu,1,0,9,,,,,
24-03-2020,6:00 PM,Tamil Nadu,1,0,15,,,,,
25-03-2020,6:00 PM,Tamil Nadu,1,0,18,,,,,
26-03-2020,6:00 PM,Tamil Nadu,1,1,26,,,,,
27-03-2020,10:00 AM,Tamil Nadu,1,1,29,,,,,
28-03-2020,6:00 PM,Tamil Nadu,2,1,40,,,,,
29-03-2020,7:30 PM,Tamil Nadu,4,1,49,,,,,
30-03-2020,9:30 PM,Tamil Nadu,4,1,67,,,,,
31-03-2020,8:30 PM,Tamil Nadu,4,1,74,,,,,
01-04-2020,7:30 PM,Tamil Nadu,6,1,234,,,,,
02-04-2020,6:00 PM,Tamil Nadu,6,1,309,,,,,
03-04-2020,6:00 PM,Tamil Nadu,6,2,411,,,,,
04-04-2020,6:00 PM,Tamil Nadu,6,3,485,,,,,
05-04-2020,6:00 PM,Tamil Nadu,8,5,571,,,,,
06-04-2020,6:00 PM,Tamil Nadu,8,5,621,,,,,
07-04-2020,5:00 PM,Tamil Nadu,19,7,690,,,,,
08-04-2020,5:00 PM,Tamil Nadu,21,8,738,,,,,
09-04-2020,5:00 PM,Tamil Nadu,21,8,834,,,,,
10-04-2020,5:00 PM,Tamil Nadu,44,8,911,,,,,
11-04-2020,5:00 PM,Tamil Nadu,44,10,969,,,,,
12-04-2020,5:00 PM,Tamil Nadu,50,11,1075,,,,,
13-04-2020,5:00 PM,Tamil Nadu,58,11,1173,,,,,
14-04-2020,5:00 PM,Tamil Nadu,81,12,1204,,,,,
15-04-2020,5:00 PM,Tamil Nadu,118,14,1242,,,,,
16-04-2020,5:00 PM,Tamil Nadu,180,15,1267,,,,,
17-04-2020,5:00 PM,Tamil Nadu,283,15,1323,,,,,
18-04-2020,5:00 PM,Tamil Nadu,365,15,1372,,,,,
19-04-2020,5:00 PM,Tamil Nadu,411,15,1477,,,,,
20-04-2020,5:00 PM,Tamil Nadu,457,17,1520,,,,,
21-04-2020,5:00 PM,Tamil Nadu,635,18,1596,,,,,
22-04-2020,5:00 PM,Tamil Nadu,662,18,1629,,,,,
23-04-2020,5:00 PM,Tamil Nadu,752,20,1683,,,,,
24-04-2020,5:00 PM,Tamil Nadu,866,22,1755,,,,,
25-04-2020,5:00 PM,Tamil Nadu,960,23,1821,,,,,
26-04-2020,5:00 PM,Tamil Nadu,1020,24,1885,,,,,
27-04-2020,5:00 PM,Tamil Nadu,1101,24,1937,,,,,
28-04-2020,5:00 PM,Tamil Nadu,1168,25,2058,,,,,
29-04-2020,5:00 PM,Tamil Nadu,1210,27,2162,,,,,
30-04-2020,5:00 PM,Tamil Nadu,1258,27,2323,,,,,
01-05-2020,5:00 PM,Tamil Nadu,1312,28,2526,,,,,
02-05-2020,5:00 PM,Tamil Nadu,1341,29,2757,,,,,
03-05-2020,5:00 PM,Tamil Nadu,1379,30,3023,,,,,
04-05-2020,5:00 PM,Tamil Nadu,1409,31,3550,,,,,
05-05-2020,5:00 PM,Tamil Nadu,1485,33,4058,,,,,
06-05-2020,5:00 PM,Tamil Nadu,1516,35,4829,,,,,
07-05-2020,5:00 PM,Tamil Nadu,1547,37,5409,,,,,
08-05-2020,5:00 PM,Tamil Nadu,1605,40,6009,,,,,
